ICAO;IATA;AirportName;City;Country;Latitude;Longitude;Altitude
BGKK;KUS;KULUSUK;KULUSUK;GREENLAND;65.58333333;-37.15;33.528
BGKM;N/A;;KUNGMIUT;GREENLAND;0;0;0
BGKT;N/A;;KAP TOBIN;GREENLAND;0;0;0
BGMV;N/A;;MESTERS VIG;GREENLAND;0;0;0
BGNN;JNN;;NANORTALIK;GREENLAND;0;0;0
BGNS;JNS;;NARSSAQ;GREENLAND;0;0;0
BGOS;N/A;;ORSSUIORSSUAQ;GREENLAND;0;0;0
BGPC;N/A;;PRINS CHRISTIAN SUND;GREENLAND;0;0;0
BGRS;N/A;;RAVNS STORO;GREENLAND;0;0;0
BGSC;N/A;;SCORESBYSUND;GREENLAND;0;0;0
BGSF;SFJ;KANGERLUSSUAQ SONDRE STROMFJORD;SONDRESTROM;GREENLAND;67.01694444;-50.68916667;50.292
BGSG;N/A;;SERMILIGAO;GREENLAND;0;0;0
BGST;JSU;;SUKKERTOPPEN;GREENLAND;0;0;0
BGTL;THU;THULE AIR BASE;THULE;GREENLAND;76.53111111;-68.70305556;76.5048
BGTM;N/A;;TINGMIARMIUT;GREENLAND;0;0;0
BGTN;N/A;;TINITEQILAQ;GREENLAND;0;0;0
BGUM;N/A;;UMANAK;GREENLAND;0;0;0
BGUP;JUV;;UPERNAVIK;GREENLAND;0;0;0
BIAR;AEY;AKUREYRI;AKUREYRI;ICELAND;65.65972222;-18.0725;1.8288
BIBL;N/A;;BLONDUOS;ICELAND;0;0;0
BIDV;N/A;;DJUOIVOGUR;ICELAND;0;0;0
BIEG;EGS;EGILSSTADIR;EGILSSTADIR;ICELAND;65.28333333;-14.40138889;23.1648
BIFM;N/A;;FAGURHOLSMYRI;ICELAND;0;0;0
BIGR;GRY;;GRIMSEY;ICELAND;0;0;0
BIHN;HFN;HORNAFJORDUR;HOFN;ICELAND;64.29555556;-15.22722222;7.3152
BIHU;HZK;HUSAVIK;HUSAVIK;ICELAND;65.95222222;-17.42583333;13.716
BIIS;IFJ;ISAFJORDUR;ISAFJORDUR;ICELAND;66.05805556;-23.13527778;2.4384
BIKF;KEF;KEFLAVIK NAS;KEFLAVIK;ICELAND;63.985;-22.60555556;52.1208
BIKP;OPA;KOPASKER;KOPASKER;ICELAND;66.31361111;-16.46111111;6.096
BIKR;SAK;;SAUDARKROKUR;ICELAND;0;0;0
BINF;NOR;;NORDFJORDUR;ICELAND;0;0;0
BIPA;PFJ;PATREKSFJORDUR;PATREKSFJORDUR;ICELAND;65.55583333;-23.965;3.3528
BIRG;RFN;;RAUFARHOFN;ICELAND;0;0;0
BIRK;RKV;REYKJAVIK;REYKJAVIK;ICELAND;64.13;-21.94055556;14.6304
BISI;SIJ;SIGLUFJORDHUR;SIGLUFJORDUR;ICELAND;66.13333333;-18.91666667;3.048
BISS;N/A;;SANDSKEID;ICELAND;0;0;0
BIST;N/A;;STYKKISHOLMUR;ICELAND;0;0;0
BITE;TEY;;THINGEYRI;ICELAND;0;0;0
BITH;THO;;THORSHOFN;ICELAND;0;0;0
BIVM;VEY;VESTMANNAEYJAR;VESTMANNAEYJAR;ICELAND;63.42416667;-20.27861111;99.3648
BIVO;VPN;;VOPNAFJORDUR;ICELAND;0;0;0
BZGD;N/A;;GODLEY;NEW ZEALAND;0;0;0
CUAP;N/A;;ACTIVE PASS;CANADA;0;0;0
CUHA;YQC;;QUAQTAQ;CANADA;0;0;0
CUQC;N/A;;STIRLING;CANADA;0;0;0
CUUP;N/A;;OTTAWA;CANADA;0;0;0
CWBF;N/A;;BATTLE HARBOUR;CANADA;0;0;0
CWHJ;N/A;;HOLBERG;CANADA;0;0;0
CWMK;N/A;;SIMCOE;CANADA;0;0;0
CWMN;N/A;;MOUNT FOREST;CANADA;0;0;0
CWOH;N/A;;SAINTE AGATHE;CANADA;0;0;0
CWPC;N/A;;PINCHER CREEK;CANADA;0;0;0
CWPO;N/A;;PILOT MOUNT;CANADA;0;0;0
CWVA;N/A;;BONAVISTA;CANADA;0;0;0
CYAB;YAB;;ARCTIC BAY;CANADA;0;0;0
CYAJ;N/A;;KOMAKUK;CANADA;0;0;0
CYAL;YAL;;ALERT BAY;CANADA;0;0;0
CYAM;YAM;SAULT STE MARIE;SAULT SAINTE MARIE;CANADA;46.485;-84.50944444;192.024
CYAV;YAV;WINNIPEG ST ANDREWS;WINNIPEG;CANADA;50.05638889;-97.0325;231.648
CYAW;YAW;SHEARWATER;HALIFAX;CANADA;44.63972222;-63.49944444;50.9016
CYAY;YAY;ST ANTHONY;ST. ANTHONY;CANADA;51.39166667;-56.08444444;28.0416
CYAZ;YAZ;TOFINO;TOFINO;CANADA;49.08222222;-125.7725;24.384
CYBA;N/A;;BANFF;CANADA;0;0;0
CYBB;YBB;KUGAARUK;PELLY BAY;CANADA;68.53444444;-89.80805556;17.0688
CYBC;YBC;BAIE COMEAU;BAIE COMEAU;CANADA;49.13222222;-68.20722222;21.6408
CYBG;YBG;BAGOTVILLE;BAGOTVILLE;CANADA;48.33055556;-70.99638889;159.1056
CYBK;YBK;BAKER LAKE;BAKER LAKE;CANADA;64.29888889;-96.07777778;17.9832
CYBL;YBL;CAMPBELL RIVER;CAMPBELL RIVER;CANADA;49.95083333;-125.2708333;105.4608
CYBR;YBR;BRANDON MUNI;BRANDON;CANADA;49.91;-99.95194444;409.3464
CYBT;YBT;;BROCHET;CANADA;0;0;0
CYCA;YRF;;CARTWRIGHT;CANADA;0;0;0
CYCB;YCB;CAMBRIDGE BAY;CAMBRIDGE BAY;CANADA;69.10805556;-105.1383333;27.432
CYCD;YCD;NANAIMO;NANAIMO;CANADA;49.05222222;-123.87;28.3464
CYCG;YCG;CASTLEGAR;CASTLEGAR;CANADA;49.29638889;-117.6325;494.9952
CYCH;YCH;MIRAMICHI;CHATHAM;CANADA;47.00777778;-65.44916667;32.9184
CYCL;YCL;CHARLO;CHARLO;CANADA;47.99055556;-66.33138889;40.2336
CYCO;YCO;KUGLUKTUK;COPPERMINE;CANADA;67.81666667;-115.1438889;22.5552
CYCS;YCS;;CHESTERFIELD INLET;CANADA;0;0;0
CYCT;YCT;CORONATION;CORONATION;CANADA;52.075;-111.4452778;790.956
CYCV;YCV;;MONTREAL;CANADA;0;0;0
CYCW;YCW;CHILLIWACK;CHILLIWACK;CANADA;49.15277778;-121.9388889;9.7536
CYCX;N/A;;CAMP GAGETOWN;CANADA;0;0;0
CYCY;YCY;CLYDE RIVER;CLYDE RIVER;CANADA;70.48611111;-68.51666667;26.5176
CYCZ;YZS;FAIRMONT HOT SPRINGS;CORAL HARBOUR;CANADA;50.33194444;-115.8736111;810.1584
CYDA;YDA;DAWSON;DAWSON;CANADA;64.04305556;-139.1277778;370.0272
CYDB;YDB;BURWASH;BURWASH;CANADA;61.37111111;-139.0405556;806.8056
CYDC;YDC;PRINCETON;PRINCETON;CANADA;49.4675;-120.5119444;700.4304
CYDF;YDF;DEER LAKE;DEER LAKE;CANADA;49.21083333;-57.39138889;21.9456
CYDL;YDL;DEASE LAKE;DEASE LAKE;CANADA;58.42222222;-130.0322222;792.48
CYDN;YDN;DAUPHIN BARKER;DAUPHIN;CANADA;51.10083333;-100.0525;304.1904
CYDQ;YDQ;DAWSON CREEK;DAWSON CREEK;CANADA;55.74166667;-120.1819444;654.7104
CYDR;N/A;;BROADVIEW;CANADA;0;0;0
CYED;YED;EDMONTON NAMAO;EDMONTON;CANADA;53.66666667;-113.4666667;0
CYEG;YEG;EDMONTON INTERNATIONAL;EDMONTON;CANADA;53.30972222;-113.5797222;723.2904
CYEK;YEK;ARVIAT;ESKIMO POINT;CANADA;61.09416667;-94.07083333;9.7536
CYEN;YEN;ESTEVAN;ESTEVAN;CANADA;49.21027778;-102.9658333;580.644
CYEP;N/A;;ESTEVAN POINT;CANADA;0;0;0
CYET;YET;EDSON;EDSON;CANADA;53.57888889;-116.465;926.8968
CYEU;YEU;EUREKA;EUREKA;CANADA;79.99472222;-85.81333333;78.0288
CYEV;YEV;INUVIK MIKE ZUBKO;INUVIK;CANADA;68.30416667;-133.4827778;68.2752
CYFB;YFB;IQALUIT;IQALUIT;CANADA;63.75638889;-68.55583333;33.528
CYFC;YFC;FREDERICTON;FREDERICTON;CANADA;45.86944444;-66.53166667;20.7264
CYFE;N/A;FORESTVILLE;FORESTVILLE;CANADA;48.74611111;-69.09722222;8.8392
CYFL;N/A;;FORT RELIANCE;CANADA;0;0;0
CYFO;YFO;FLIN FLON;FLIN FLON;CANADA;54.67805556;-101.6816667;303.8856
CYFR;YFR;FORT RESOLUTION;FORT RESOLUTION;CANADA;61.18083333;-113.6897222;160.3248
CYFS;YFS;FORT SIMPSON;FORT SIMPSON;CANADA;61.76027778;-121.2366667;169.164
CYGA;N/A;;GAGNON;CANADA;0;0;0
CYGK;YGK;KINGSTON;KINGSTON;CANADA;44.22527778;-76.59694444;92.964
CYGL;YGL;LA GRANDE RIVIERE;LA GRANDE RIVIERE;CANADA;53.62527778;-77.70416667;194.7672
CYGP;YGP;GASPE;GASPE;CANADA;48.77527778;-64.47861111;32.9184
CYGQ;YGQ;GERALDTON GREENSTONE REGIONAL;GERALDTON;CANADA;49.77833333;-86.93944444;348.6912
CYGR;YGR;ILES DE LA MADELEINE;ILES DE LA MADELEINE;CANADA;47.42472222;-61.77805556;10.3632
CYGT;YGT;;IGLOOLIK;CANADA;0;0;0
CYGW;YGW;KUUJJUARAPIK;KUUJJUARARAPIK;CANADA;55.28333333;-77.76666667;19.812
CYGX;YGX;GILLAM;GILLAM;CANADA;56.35;-94.7;143.256
CYGY;N/A;;DECEPTION;CANADA;0;0;0
CYGZ;YGZ;;GRISE FIORD;CANADA;0;0;0
CYHB;YHB;HUDSON BAY;HUDSON BAY;CANADA;52.81666667;-102.3113889;358.14
CYHD;YHD;DRYDEN RGNL;DRYDEN;CANADA;49.83166667;-92.74416667;412.6992
CYHE;N/A;;HOPE;CANADA;0;0;0
CYHI;YHI;HOLMAN;HOLMAN ISLAND;CANADA;70.76305556;-117.8058333;35.6616
CYHK;YHK;GJOA HAVEN;GJOA HAVEN;CANADA;68.63555556;-95.84972222;46.3296
CYHM;YHM;HAMILTON;HAMILTON;CANADA;43.17305556;-79.935;237.744
CYHO;YHO;;HOPEDALE;CANADA;0;0;0
CYHU;YHU;ST HUBERT;MONTREAL;CANADA;45.5175;-73.41694444;27.432
CYHY;YHY;HAY RIVER;HAY RIVER;CANADA;60.83972222;-115.7827778;165.5064
CYHZ;YHZ;HALIFAX INTERNATIONAL;HALIFAX;CANADA;44.88083333;-63.50861111;145.3896
CYIB;YIB;ATIKOKAN MUNI;ATIKOKAN;CANADA;48.77388889;-91.63861111;429.1584
CYIO;YIO;POND INLET;POND INLET;CANADA;72.68333333;-77.96666667;55.1688
CYIV;YIV;;ISLAND LAKE;CANADA;0;0;0
CYJA;N/A;;JASPER;CANADA;0;0;0
CYJN;YJN;ST JEAN;ST. JEAN;CANADA;45.29444444;-73.28111111;41.4528
CYJT;YJT;STEPHENVILLE;STEPHENVILLE;CANADA;48.54416667;-58.55;25.6032
CYKA;YKA;KAMLOOPS;KAMLOOPS;CANADA;50.70222222;-120.4419444;345.3384
CYKF;YKF;WATERLOO RGNL;WATERLOO;CANADA;43.45888889;-80.38444444;316.992
CYKL;YKL;SCHEFFERVILLE;SCHEFFERVILLE;CANADA;54.805;-66.80527778;520.9032
CYKY;YKY;KINDERSLEY;KINDERSLEY;CANADA;51.5175;-109.1808333;694.0296
CYKZ;YKZ;BUTTONVILLE MUNI;TORONTO;CANADA;43.86222222;-79.37;198.12
CYLA;N/A;;LANGARA;CANADA;0;0;0
CYLC;YLC;;LAKE HARBOUR;CANADA;0;0;0
CYLD;YLD;CHAPLEAU;CHAPLEAU;CANADA;47.82;-83.34638889;446.532
CYLJ;YLJ;MEADOW LAKE;MEADOW LAKE;CANADA;54.12527778;-108.5227778;480.3648
CYLL;YLL;LLOYDMINSTER;LLOYDMINSTER;CANADA;53.30916667;-110.0725;668.7312
CYLO;N/A;;SHILO;CANADA;0;0;0
CYLT;YLT;ALERT;ALERT;CANADA;82.51777778;-62.28055556;30.48
CYLW;YLW;KELOWNA;KELOWNA;CANADA;49.95611111;-119.3777778;429.4632
CYLY;N/A;;LYTTON;CANADA;0;0;0
CYMA;YMA;MAYO;MAYO;CANADA;63.61666667;-135.8666667;503.8344
CYMD;N/A;;MOULD BAY;CANADA;0;0;0
CYMJ;YMJ;MOOSE JAW;MOOSE JAW;CANADA;50.33027778;-105.5591667;576.6816
CYMM;YMM;FORT MCMURRAY;FORT MCMURRAY;CANADA;56.65333333;-111.2219444;369.1128
CYMO;YMO;MOOSONEE;MOOSONEE;CANADA;51.29111111;-80.60777778;9.144
CYMR;N/A;;MERRY ISLAND;CANADA;0;0;0
CYMW;YMW;MANIWAKI;MANIWAKI;CANADA;46.27444444;-75.99;200.8632
CYMX;YMX;MONTREAL INTERNATIONAL MIRABEL;MONTREAL;CANADA;45.67972222;-74.03861111;82.296
CYNA;YNA;NATASHQUAN;NATASHQUAN;CANADA;50.18972222;-61.78916667;10.668
CYND;YND;GATINEAU;GATINEAU;CANADA;45.52138889;-75.56416667;64.3128
CYNI;N/A;;NITCHEQUON;CANADA;0;0;0
CYNM;YNM;MATAGAMI;MATAGAMI;CANADA;49.76166667;-77.80277778;279.8064
CYNY;N/A;;ENDERBY;CANADA;0;0;0
CYO;N/A;;WYNYARD;CANADA;0;0;0
CYOC;YOC;OLD CROW;OLD CROW;CANADA;67.57055556;-139.8391667;251.1552
CYOD;YOD;COLD LAKE;COLD LAKE;CANADA;54.405;-110.2794444;541.02
CYOJ;YOJ;HIGH LEVEL;HIGH LEVEL;CANADA;58.62138889;-117.1647222;338.328
CYOW;YOW;OTTAWA MACDONALD CARTIER INTERNATIONAL;OTTAWA;CANADA;45.3225;-75.66916667;113.9952
CYPA;YPA;PRINCE ALBERT GLASS FIELD;PRINCE ALBERT;CANADA;53.21416667;-105.6727778;428.244
CYPE;YPE;PEACE RIVER;PEACE RIVER;CANADA;56.22694444;-117.4472222;570.8904
CYPF;N/A;;ESQUIMALT;CANADA;0;0;0
CYPG;YPG;SOUTHPORT;PORTAGE-LA-PRAIRIE;CANADA;49.90277778;-98.27472222;269.748
CYPH;YPH;;INUKJUAK;CANADA;0;0;0
CYPK;N/A;PITT MEADOWS;PITT MEADOWS;CANADA;49.21611111;-122.71;3.3528
CYPL;YPL;PICKLE LAKE;PICKLE LAKE;CANADA;51.44638889;-90.21416667;386.1816
CYPN;YPN;PORT MENIER;PORT MENIER;CANADA;49.83638889;-64.28861111;50.9016
CYPQ;YPQ;PETERBOROUGH;PETERBOROUGH;CANADA;44.23;-78.36333333;191.4144
CYPR;YPR;PRINCE RUPERT;PRINCE PUPERT;CANADA;54.28611111;-130.4447222;35.3568
CYPY;YPY;FORT CHIPEWYAN;FORT CHIPEWYAN;CANADA;58.76722222;-111.1172222;231.9528
CYQA;YQA;MUSKOKA;MUSKOKA;CANADA;44.97472222;-79.30333333;281.94
CYQB;YQB;QUEBEC JEAN LESAGE INTERNATIONAL;QUEBEC;CANADA;46.78833333;-71.3975;74.3712
CYQF;YQF;RED DEER REGIONAL;RED DEER INDUSTRIAL;CANADA;52.17861111;-113.8930556;904.6464
CYQG;YQG;WINDSOR;WINDSOR;CANADA;42.27555556;-82.95555556;189.5856
CYQH;YQH;WATSON LAKE;WATSON LAKE;CANADA;60.11777778;-128.8219444;687.324
CYQK;YQK;KENORA;KENORA;CANADA;49.78833333;-94.36305556;405.9936
CYQL;YQL;LETHBRIDGE;LETHBRIDGE;CANADA;49.63027778;-112.7997222;928.7256
CYQM;YQM;GREATER MONCTON INTERNATIONAL;MONCTON;CANADA;46.11222222;-64.67861111;70.7136
CYQN;N/A;NAKINA;NAKINA;CANADA;50.18277778;-86.69638889;322.1736
CYQQ;YQQ;COMOX;COMOX;CANADA;49.71083333;-124.8866667;25.6032
CYQR;YQR;REGINA INTERNATIONAL;REGINA;CANADA;50.43194444;-104.6658333;577.2912
CYQT;YQT;THUNDER BAY;THUNDER BAY;CANADA;48.37194444;-89.32388889;199.0344
CYQU;YQU;GRANDE PRAIRIE;GRANDE PRAIRIE;CANADA;55.17972222;-118.885;669.036
CYQV;YQV;YORKTON MUNI;YORKTON;CANADA;51.26472222;-102.4616667;498.348
CYQW;YQW;NORTH BATTLEFORD;NORTH BATTLEFORD;CANADA;52.76916667;-108.2436111;548.3352
CYQX;YQX;GANDER INTERNATIONAL;GANDER;CANADA;48.93694444;-54.56805556;151.1808
CYQY;YQY;SYDNEY;SYDNEY;CANADA;46.16138889;-60.04777778;61.8744
CYQZ;YQZ;QUESNEL;QUESNEL;CANADA;53.02611111;-122.51;545.2872
CYRB;YRB;RESOLUTE BAY;RESOLUTE;CANADA;74.71694444;-94.96944444;65.532
CYRI;YRI;RIVIERE DU LOUP;RIVIERE DU LOUP;CANADA;47.76444444;-69.58472222;130.1496
CYRJ;YRJ;ROBERVAL;ROBERVAL;CANADA;48.52;-72.26555556;178.6128
CYRM;YRM;ROCKY MOUNTAIN HOUSE;ROCKY MOUNTAIN HOUSE;CANADA;52.42972222;-114.9041667;988.1616
CYRT;YRT;RANKIN INLET;RANKIN INLET;CANADA;62.81138889;-92.11583333;28.6512
CYRW;N/A;;TROIS RIVIERE;CANADA;0;0;0
CYSA;N/A;;SABLE ISLAND;CANADA;0;0;0
CYSB;YSB;SUDBURY;SUDBURY;CANADA;46.625;-80.79888889;347.472
CYSC;YSC;SHERBROOKE;SHERBROOKE;CANADA;45.43805556;-71.69055556;241.4016
CYSD;N/A;;SUFFIELD;CANADA;0;0;0
CYSF;YSF;;STONY RAPIDS;CANADA;0;0;0
CYSJ;YSJ;SAINT JOHN;ST. JOHN;CANADA;45.31611111;-65.89027778;108.8136
CYSK;YSK;;SANIKILUAQ;CANADA;0;0;0
CYSM;YSM;FORT SMITH;FORT SMITH;CANADA;60.02222222;-111.9602778;205.1304
CYSR;YSR;NANISIVIK;NANISIVIK;CANADA;72.98222222;-84.61361111;641.9088
CYSS;N/A;;SLATE ISLAND;CANADA;0;0;0
CYSU;YSU;SUMMERSIDE;SUMMERSIDE;CANADA;46.44277778;-63.83111111;17.0688
CYSY;YSY;SACHS HARBOUR;SACHS HARBOUR;CANADA;71.99388889;-125.2425;85.6488
CYTC;N/A;;ETHELDA BAY;CANADA;0;0;0
CYTE;YTE;CAPE DORSET;CAPE DORSET;CANADA;64.23;-76.52666667;49.9872
CYTH;YTH;THOMPSON;THOMPSON;CANADA;55.80111111;-97.86416667;222.1992
CYTL;YTL;;BIG TROUT LAKE;CANADA;0;0;0
CYTR;YTR;TRENTON;TRENTON;CANADA;44.11888889;-77.52805556;86.2584
CYTS;YTS;TIMMINS;TIMMINS;CANADA;48.56972222;-81.37666667;294.7416
CYTZ;YTZ;CITY CENTRE;TORONTO;CANADA;43.6275;-79.39611111;76.5048
CYUA;N/A;;SHINGLE POINT;CANADA;0;0;0
CYUB;YUB;TUKTOYAKTUK;TUKTOYAKTUK;CANADA;69.43333333;-133.0263889;4.572
CYUC;N/A;;NICHOLSON PENINSULAR;CANADA;0;0;0
CYUF;YUF;;PELLY BAY;CANADA;0;0;0
CYUH;N/A;;CLINTON POINT;CANADA;0;0;0
CYUI;N/A;;CAPE YOUNG;CANADA;0;0;0
CYUJ;N/A;;LADY FRANKLIN POINT;CANADA;0;0;0
CYUK;N/A;;BYRON BAY;CANADA;0;0;0
CYUL;YUL;MONTREAL INTERNATIONAL DORVAL;MONTREAL;CANADA;45.46805556;-73.74138889;35.6616
CYUQ;N/A;;JENNY LIND ISLAND;CANADA;0;0;0
CYUR;N/A;;GLADMAN POINT;CANADA;0;0;0
CYUS;N/A;;SHEPHERD BAY;CANADA;0;0;0
CYUT;YUT;REPULSE BAY;REPULSE BAY;CANADA;66.52138889;-86.22472222;24.384
CYUX;YUX;HALL BEACH;HALL BEACH;CANADA;68.77611111;-81.24361111;8.2296
CYUY;YUY;ROUYN NORANDA;ROUYN;CANADA;48.20611111;-78.83555556;301.1424
CYVC;YVC;LA RONGE;LA RONGE;CANADA;55.15138889;-105.2619444;378.5616
CYVG;YVG;VERMILION;VERMILLION;CANADA;53.35583333;-110.8238889;617.22
CYVM;YVM;QIKIQTARJUAQ;BROUGHTON ISLAND;CANADA;67.54583333;-64.03138889;6.4008
CYVN;N/A;;CAPE DYER;CANADA;0;0;0
CYVO;YVO;VAL D OR;VAL D'OR;CANADA;48.05333333;-77.78277778;337.4136
CYVP;YVP;KUUJJUAQ;QUUJJUAQ;CANADA;58.09611111;-68.42694444;39.3192
CYVQ;YVQ;NORMAN WELLS;NORMAN WELLS;CANADA;65.2825;-126.8002778;73.4568
CYVR;YVR;VANCOUVER INTERNATIONAL;VANCOUVER;CANADA;49.195;-123.1819444;4.2672
CYVT;YVT;BUFFALO NARROWS;BUFFALO NARROWS;CANADA;55.84194444;-108.4175;440.1312
CYVV;YVV;WIARTON;WIARTON;CANADA;44.74583333;-81.10722222;222.1992
CYWA;YWA;PETAWAWA;PETAWAWA;CANADA;45.95222222;-77.31916667;130.1496
CYWG;YWG;WINNIPEG INTERNATIONAL;WINNIPEG;CANADA;49.91;-97.23444444;238.6584
CYWK;YWK;WABUSH;WABUSH;CANADA;52.92194444;-66.86444444;551.0784
CYWL;YWL;WILLIAMS LAKE;WILLIAMS LAKE;CANADA;52.18305556;-122.0541667;940.308
CYWO;N/A;;LUPIN;CANADA;0;0;0
CYWR;N/A;;WHITE RIVER;CANADA;0;0;0
CYWY;YWY;WRIGLEY;WRIGLEY;CANADA;63.20944444;-123.4366667;150.2664
CYXC;YXC;CRANBROOK;CRANBROOK;CANADA;49.61027778;-115.7825;939.3936
CYXD;YXD;EDMONTON CITY CENTRE;EDMONTON;CANADA;53.5725;-113.5205556;670.56
CYXE;YXE;SASKATOON J G DIEFENBAKER INTERNATIONAL;SASKATOON;CANADA;52.17083333;-106.6997222;503.8344
CYXH;YXH;MEDICINE HAT;MEDICINE HAT;CANADA;50.01888889;-110.7208333;716.8896
CYXI;N/A;;KILLALOE;CANADA;0;0;0
CYXJ;YXJ;FORT ST JOHN;FORT SAINT JOHN;CANADA;56.23805556;-120.7402778;694.944
CYXL;YXL;SIOUX LOOKOUT;SIOUX LOOKOUT;CANADA;50.11444444;-91.90416667;390.144
CYXN;YXN;;WHALE COVE;CANADA;0;0;0
CYXP;YXP;PANGNIRTUNG;PANGNIRTUNG;CANADA;66.145;-65.71361111;22.86
CYXR;YXR;TIMISKAMING RGNL;EARLTON;CANADA;47.695;-79.84888889;243.2304
CYXS;YXS;PRINCE GEORGE;PRINCE GEORGE;CANADA;53.88944444;-122.6788889;690.9816
CYXT;YXT;TERRACE;TERRACE;CANADA;54.46638889;-128.5775;217.3224
CYXU;YXU;LONDON;LONDON;CANADA;43.03555556;-81.15388889;277.9776
CYXX;YXX;ABBOTSFORD;ABBOTSFORD;CANADA;49.02527778;-122.3633333;57.912
CYXY;YXY;WHITEHORSE INTERNATIONAL;WHITEHORSE;CANADA;60.70944444;-135.0683333;706.2216
CYYB;YYB;NORTH BAY;NORTH BAY;CANADA;46.36361111;-79.42277778;370.332
CYYC;YYC;CALGARY INTERNATIONAL;CALGARY;CANADA;51.11388889;-114.0202778;1084.1736
CYYD;YYD;SMITHERS;SMITHERS;CANADA;54.82472222;-127.1827778;521.8176
CYYE;YYE;FORT NELSON;FORT NELSON;CANADA;58.83638889;-122.5969444;381.9144
CYYF;YYF;PENTICTON;PENTICTON;CANADA;49.46277778;-119.6022222;344.1192
CYYG;YYG;CHARLOTTETOWN;CHARLOTTETOWN;CANADA;46.29;-63.12111111;48.768
CYYH;YYH;TALOYOAK;SPENCE BAY;CANADA;69.54666667;-93.57666667;28.0416
CYYJ;YYJ;VICTORIA INTERNATIONAL;VICTORIA;CANADA;48.64694444;-123.4258333;19.2024
CYYL;YYL;LYNN LAKE;LYNN LAKE;CANADA;56.86388889;-101.0761111;356.616
CYYN;YYN;SWIFT CURRENT;SWIFT CURRENT;CANADA;50.29194444;-107.6905556;816.864
CYYQ;YYQ;CHURCHILL;CHURCHILL;CANADA;58.73916667;-94.065;28.6512
CYYR;YYR;GOOSE BAY;GOOSE BAY;CANADA;53.31916667;-60.42583333;48.768
CYYT;YYT;ST JOHNS INTERNATIONAL;ST. JOHN'S;CANADA;47.61861111;-52.75194444;140.5128
CYYU;YYU;KAPUSKASING;KAPUSKASING;CANADA;49.41388889;-82.4675;226.4664
CYYW;YYW;ARMSTRONG;ARMSTRONG;CANADA;50.29027778;-88.90972222;322.4784
CYYY;YYY;MONT JOLI;MONT JOLI;CANADA;48.60861111;-68.20805556;52.4256
CYYZ;YYZ;LESTER B PEARSON INTERNATIONAL;TORONTO;CANADA;43.67722222;-79.63055556;173.4312
CYZA;N/A;;ASHCROFT;CANADA;0;0;0
CYZD;YZD;DOWNSVIEW;TORONTO;CANADA;43.7425;-79.46555556;198.7296
CYZE;YZE;GORE BAY MANITOULIN;GORE BAY;CANADA;45.88527778;-82.56777778;193.548
CYZF;YZF;YELLOWKNIFE;YELLOWKNIFE;CANADA;62.46277778;-114.4402778;205.74
CYZH;YZH;SLAVE LAKE;SLAVE LAKE;CANADA;55.29333333;-114.7783333;582.7776
